Key,en,es,ar
Phone,Phone,Teléfono,هاتف
Address,Address,DIRECCIÓN,عنوان
Enter Address,Enter Address,Ingresa la direccion,أدخل العنوان
City,City,Ciudad,مدينة
Enter City,Enter City,Ingrese la ciudad,أدخل المدينة
State,State,Estado,ولاية
Enter State,Enter State,Ingresar estado,إدخال الدولة
Zip Code,Zip Code,Código postal,الرمز البريدي
Enter Zip,Enter Zip,Ingresar código postal,أدخل الرمز البريدي
Update,Update,Actualizar,تحديث
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور
Current Password,Current Password,Contraseña actual,كلمة السر الحالية
New Password,New Password,Nueva contraseña,كلمة المرور الجديدة
Confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور
Change,Change,Cambiar,يتغير
Delete Account,Delete Account,Borrar cuenta,حذف الحساب
Are you sure to delete,Are you sure to delete,¿Estás seguro de eliminar?,هل انت متأكد من الحذف
your account,your account,su cuenta,الحساب الخاص بك
If you do not think you will use,If you do not think you will use,Si no crees que lo usarás,إذا كنت لا تعتقد أنك سوف تستخدم
"again and like your account deleted, we can take card of this for you. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","again and like your account deleted, we can take card of this for you. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","nuevamente y como si su cuenta fuera eliminada, podemos tomar nota de esto por usted. Tenga en cuenta que no podrá reactivar su cuenta ni recuperar el contenido o la información que haya agregado. Si aún desea eliminar su cuenta, haga clic en ""Eliminar cuenta"".","مرة أخرى، ومثلما تم حذف حسابك، يمكننا أخذ هذه البطاقة لك. ضع في اعتبارك أنك لن تتمكن من إعادة تنشيط حسابك أو استرداد أي من المحتوى أو المعلومات التي أضفتها. إذا كنت لا تزال ترغب في حذف حسابك، فانقر فوق ""حذف الحساب""."
Enter Number,Enter Number,Ingresar número,أدخل رقم
Profile successfully updated!,Profile successfully updated!,¡Perfil actualizado exitosamente!,تم تحديث الملف الشخصي بنجاح!
Password successfully updated,Password successfully updated,Contraseña actualizada exitosamente,تم تحديث كلمة المرور بنجاح
The password must be at least 6 characters.,The password must be at least 6 characters.,La contraseña debe tener al menos 6 caracteres.,يجب أن تتكون كلمة المرور من 6 أحرف على الأقل.
Current password didn\'t match,Current password didn\'t match,La contraseña actual no coincide,كلمة المرور الحالية غير متطابقة
Something went wrong! Please try again,Something went wrong! Please try again,¡Algo salió mal! Inténtalo de nuevo,هناك خطأ ما! حاول مرة اخرى
The firstname field is required.,The firstname field is required.,El campo de nombre es obligatorio.,الحقل الأول مطلوب.
The lastname field is required.,The lastname field is required.,El campo de apellido es obligatorio.,حقل الاسم الأخير مطلوب.
The current password field is required.,The current password field is required.,El campo de contraseña actual es obligatorio.,حقل كلمة المرور الحالية مطلوب.
The password field is required.,The password field is required.,El campo de contraseña es obligatorio.,حقل كلمة المرور مطلوب.
The name field is required.,The name field is required.,El campo de nombre es obligatorio.,حقل الاسم مطلوب.
The email field is required.,The email field is required.,El campo de correo electrónico es obligatorio.,حقل البريد الإلكتروني مطلوب.
The message field is required.,The message field is required.,El campo del mensaje es obligatorio.,حقل الرسالة مطلوب.
Buy Crypto,Buy Crypto,Comprar criptomonedas,شراء التشفير
Sell Crypto,Sell Crypto,Vender criptomonedas,بيع التشفير
Withdraw Crypto,Withdraw Crypto,Retirar criptomonedas,سحب التشفير
Exchange Crypto,Exchange Crypto,Intercambiar criptomonedas,تبادل التشفير
Transactions,Transactions,Actas,المعاملات
Sell Log,Sell Log,Vender registro,سجل البيع
Withdraw Log,Withdraw Log,Retirar registro,سجل السحب
Exchange Log,Exchange Log,Registro de intercambio,سجل التبادل
2FA Security,2FA Security,Seguridad 2FA,2FA الأمن
Logout,Logout,Cerrar sesión,تسجيل خروج
Help Center,Help Center,Centro de ayuda,مركز المساعدة
How can we help you?,How can we help you?,como podemos ayudarte?,كيف يمكننا مساعدتك؟
Get Support,Get Support,Obtener apoyo,احصل على الدعم
Are you sure to,Are you sure to,¿Estás seguro de,هل أنت متأكد من ذلك
Inside Wallet,Inside Wallet,Cartera interior,داخل المحفظة
Outside Wallet,Outside Wallet,Cartera exterior,المحفظة الخارجية
Select Coin,Select Coin,Seleccionar moneda,حدد العملة
Search Here,Search Here,Busca aquí,ابحث هنا
Select Network,Select Network,Seleccione la red,اختر شبكة
Crypto Address,Crypto Address,Dirección criptográfica,عنوان التشفير
Enter or Paste Address,Enter or Paste Address,Ingresar o pegar dirección,أدخل أو الصق العنوان
Amount,Amount,Cantidad,كمية
Enter Amount,Enter Amount,Ingrese el monto,أدخل المبلغ
Payment Method,Payment Method,Método de pago,طريقة الدفع او السداد
Continue,Continue,Continuar,يكمل
The amount field is required.,The amount field is required.,El campo de importe es obligatorio.,حقل المبلغ مطلوب.
Wallet not found!,Wallet not found!,¡Cartera no encontrada!,لم يتم العثور على المحفظة!
Payment Method not found!,Payment Method not found!,¡Método de pago no encontrado!,لم يتم العثور على طريقة الدفع!
Please follow the transaction limit.,Please follow the transaction limit.,Siga el límite de transacciones.,يرجى اتباع حد المعاملة.
Buy Crypto Preview,Buy Crypto Preview,Comprar vista previa de criptomonedas,شراء معاينة التشفير
Summary,Summary,Resumen,ملخص
Wallet Type,Wallet Type,Tipo de billetera,نوع المحفظة
Coin,Coin,Moneda,عملة
Network,Network,Red,شبكة
Wallet Address,Wallet Address,Dirección de billetera,عنوان المحفظة
Exchange Rate,Exchange Rate,Tipo de cambio,سعر الصرف
Network Fees,Network Fees,Tarifas de red,رسوم الشبكة
Total Payable Amount,Total Payable Amount,Monto total a pagar,إجمالي المبلغ المستحق
Confirm,Confirm,Confirmar,يتأكد
Buy Crypto Successful.,Buy Crypto Successful.,Compre criptomonedas con éxito.,شراء التشفير ناجح.
Transaction failed. Record didn\'t saved properly. Please try again.,Transaction failed. Record didn\'t saved properly. Please try again.,Transacción fallida. El registro no se guardó correctamente. Inténtalo de nuevo.,فشل الاجراء. لم يتم حفظ السجل بشكل صحيح. حاول مرة اخرى.
Failed to save data. Please try again,Failed to save data. Please try again,No se pudieron guardar los datos. Inténtalo de nuevo,فشل في حفظ البيانات. حاول مرة اخرى
Invalid request,Invalid request,Solicitud no válida,طلب غير صالح
Selected gateway is invalid,Selected gateway is invalid,La puerta de enlace seleccionada no es válida,البوابة المحددة غير صالحة
This payment gateway is under constructions. Please try with another payment gateway,This payment gateway is under constructions. Please try with another payment gateway,Esta pasarela de pago está en construcción. Por favor intenta con otra pasarela de pago,بوابة الدفع هذه قيد الإنشاء. يرجى المحاولة باستخدام بوابة دفع أخرى
Buy Crypto Manual,Buy Crypto Manual,Comprar manual de criptomonedas,شراء دليل التشفير
Proceed_WEB,Proceed_WEB,Continuar_WEB,Proceed_WEB
Pay With This Address,Pay With This Address,Pague con esta dirección,ادفع بهذا العنوان
Qr Code,Qr Code,Código QR,رمز الاستجابة السريعة
Payment Received Successfully!,Payment Received Successfully!,¡Pago recibido con éxito!,تم استلام الدفع بنجاح!
Txn Hash,Txn Hash,hash txn,تكسن هاش
Preview_WEB,Preview_WEB,Vista previa_WEB,Preview_WEB
Exchange Rate_WEB,Exchange Rate_WEB,Tipo de cambio_WEB,سعر الصرف_WEB
Fees_WEB,Fees_WEB,Tarifas_WEB,Fees_WEB
Total Payable_WEB,Total Payable_WEB,Total a pagar_WEB,إجمالي Payable_WEB
You Will Get_WEB,You Will Get_WEB,Obtendrás_WEB,سوف تحصل على_WEB
Transaction hash is required for verify,Transaction hash is required for verify,Se requiere hash de transacción para verificar,تجزئة المعاملة مطلوبة للتحقق
Transaction hash is not valid! Please input a valid hash,Transaction hash is not valid! Please input a valid hash,¡El hash de transacción no es válido! Por favor ingresa un hash válido,تجزئة المعاملة غير صالحة! الرجاء إدخال تجزئة صالحة
Insufficient amount added. Please contact with system administrator,Insufficient amount added. Please contact with system administrator,Cantidad insuficiente agregada. Por favor contacte con el administrador del sistema,تمت إضافة كمية غير كافية. يرجى الاتصال بمسؤول النظام
Payment Confirmation Success.,Payment Confirmation Success.,Éxito de confirmación de pago.,نجاح تأكيد الدفع.
Sorry! Insufficient Balance.,Sorry! Insufficient Balance.,¡Lo siento! Saldo insuficiente.,آسف! رصيد غير كاف.
Outside Wallet is not available for this coin and network.,Outside Wallet is not available for this coin and network.,Outside Wallet no está disponible para esta moneda y red.,المحفظة الخارجية غير متاحة لهذه العملة والشبكة.
Data not found!,Data not found!,¡Datos no encontrados!,لم يتم العثور على بيانات!
Sell Crypto Payment,Sell Crypto Payment,Vender pago criptográfico,بيع دفع التشفير
Transactions Summary,Transactions Summary,Resumen de transacciones,ملخص المعاملات
Will Get Amount,Will Get Amount,Recibirá la cantidad,سوف تحصل على المبلغ
Sell Crypto Payment Info,Sell Crypto Payment Info,Vender información de pago criptográfico,بيع معلومات الدفع المشفرة
Receiving Method Information,Receiving Method Information,Recibir información del método,تلقي معلومات الطريقة
Payment Proof,Payment Proof,Prueba de pago,إثبات الدفع
Branch,Branch,Rama,فرع
Bank Name,Bank Name,Nombre del banco,اسم البنك
Bank Number,Bank Number,Número de banco,عدد البنوك
Transaction ID,Transaction ID,ID de transacción,رقم المعاملة
trx_id,trx_id,trx_id,trx_id
Screenshot,Screenshot,Captura de pantalla,لقطة شاشة
Selected Outside Address is invalid,Selected Outside Address is invalid,La dirección exterior seleccionada no es válida,العنوان الخارجي المحدد غير صالح
Transaction Failed. Failed to save information. Please try again,Transaction Failed. Failed to save information. Please try again,Transacción fallida. No se pudo guardar la información. Inténtalo de nuevo,فشل الاجراء. فشل في حفظ المعلومات. حاول مرة اخرى
Payment Gateway Currency not found right now. Please try with another payment gateway,Payment Gateway Currency not found right now. Please try with another payment gateway,Moneda de la pasarela de pago no encontrada en este momento. Por favor intenta con otra pasarela de pago,لم يتم العثور على عملة بوابة الدفع حاليًا. يرجى المحاولة باستخدام بوابة دفع أخرى
Sell Crypto Preview,Sell Crypto Preview,Vender vista previa de criptomonedas,بيع معاينة التشفير
Payment Proof Summary,Payment Proof Summary,Resumen de comprobante de pago,ملخص إثبات الدفع
Receiving Method Summary,Receiving Method Summary,Resumen del método de recepción,تلقي ملخص الطريقة
Sell Crypto Successful.,Sell Crypto Successful.,Vender criptomonedas con éxito.,بيع التشفير ناجح.
Type Here,Type Here,Escriba aquí,أكتب هنا
Max,Max,máx.,الأعلى
Can\'t withdraw/request to your own,Can\'t withdraw/request to your own,No puedes retirar/solicitar por tu cuenta,لا يمكن السحب/الطلب بنفسك
The wallet address field is required.,The wallet address field is required.,El campo de dirección de la billetera es obligatorio.,حقل عنوان المحفظة مطلوب.
Withdraw Crypto Preview,Withdraw Crypto Preview,Retirar vista previa de criptografía,سحب معاينة التشفير
Withdraw Crypto Successful!,Withdraw Crypto Successful!,¡Retirar criptomonedas con éxito!,تم سحب التشفير بنجاح!
Exchange From,Exchange From,Intercambiar desde,الصرف من
Exchange To,Exchange To,Intercambiar a,تبادل ل
The send amount field is required.,The send amount field is required.,El campo monto del envío es obligatorio.,حقل مبلغ الإرسال مطلوب.
The receive money field is required.,The receive money field is required.,El campo recibir dinero es obligatorio.,حقل تلقي الأموال مطلوب.
Sender Wallet not found!,Sender Wallet not found!,¡No se encontró la billetera del remitente!,لم يتم العثور على محفظة المرسل!
Receiver Wallet not found!,Receiver Wallet not found!,¡No se encontró la billetera del receptor!,لم يتم العثور على محفظة المتلقي!
Exchange Crypto Preview,Exchange Crypto Preview,Vista previa de criptomonedas de Exchange,تبادل تشفير المعاينة
From Wallet,From Wallet,Desde billetera,من المحفظة
To Wallet,To Wallet,A la billetera,إلى المحفظة
Exchange Crypto Successful.,Exchange Crypto Successful.,Intercambio de criptomonedas exitoso.,تبادل التشفير ناجح.
Sell,Sell,Vender,يبيع
Download,Download,Descargar,تحميل
Reject Reason,Reject Reason,Motivo del rechazo,رفض السبب
Buy,Buy,Comprar,يشتري
Process,Process,Proceso,عملية
Two Factor Authenticator,Two Factor Authenticator,Autenticador de dos factores,عامل المصادقة الثنائية
Disable,Disable,Desactivar,إبطال
Don't forget to add this application in your google authentication app. Otherwise you can't login in your account.,Don't forget to add this application in your google authentication app. Otherwise you can't login in your account.,"No olvide agregar esta aplicación en su aplicación de autenticación de Google. De lo contrario, no podrá iniciar sesión en su cuenta.",لا تنس إضافة هذا التطبيق في تطبيق مصادقة جوجل الخاص بك. وإلا فلن تتمكن من تسجيل الدخول إلى حسابك.
Enable,Enable,Permitir,يُمكَِن
Google Authenticator,Google Authenticator,Autenticador de Google,أداة مصادقة جوجل
Download Google Authenticator App,Download Google Authenticator App,Descargue la aplicación Google Authenticator,تنزيل تطبيق Google Authenticator
"Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you'll also need to enter a code that is generated by the Google Authenticator app on your phone.","Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you'll also need to enter a code that is generated by the Google Authenticator app on your phone.","Google Authenticator agrega una capa adicional de seguridad a sus cuentas en línea al agregar un segundo paso de verificación cuando inicia sesión. Esto significa que, además de su contraseña, también deberá ingresar un código generado por la aplicación Google Authenticator. en tu teléfono.",يضيف Google Authenticator طبقة إضافية من الأمان إلى حساباتك عبر الإنترنت عن طريق إضافة خطوة ثانية للتحقق عند تسجيل الدخول. وهذا يعني أنه بالإضافة إلى كلمة المرور الخاصة بك، ستحتاج أيضًا إلى إدخال رمز تم إنشاؤه بواسطة تطبيق Google Authenticator على هاتفك.
How to Setup?,How to Setup?,¿Como instalar?,كيفيه التنصيب؟
Download App,Download App,Descargar aplicación,تحميل التطبيق
2 factor authentication (Powered by google)?,2 factor authentication (Powered by google)?,¿Autenticación de 2 factores (Desarrollada por Google)?,المصادقة الثنائية (مدعوم من جوجل)؟
Support Tickets,Support Tickets,Boletos de soporte,تذاكر الدعم الفني
Add New,Add New,Agregar nuevo,اضف جديد
Ticket ID,Ticket ID,Identificación de entradas,معرف التذكرة
User,User,Usuario,مستخدم
username,username,nombre de usuario,اسم المستخدم
Subject,Subject,Sujeto,موضوع
Status,Status,Estado,حالة
Last Reply,Last Reply,Última respuesta,الرد الأخير
No data found!,No data found!,¡Datos no encontrados!,لاتوجد بيانات!
Add New Ticket,Add New Ticket,Agregar nuevo boleto,إضافة تذكرة جديدة
Optional,Optional,Opcional,خياري
Attachments,Attachments,Archivos adjuntos,المرفقات
The subject field is required.,The subject field is required.,El campo de asunto es obligatorio.,حقل الموضوع مطلوب.
The attachment field is required.,The attachment field is required.,El campo adjunto es obligatorio.,الحقل المرفق مطلوب.
Oops!! Failed to upload attachment. Please try again.,Oops!! Failed to upload attachment. Please try again.,¡¡Ups!! No se pudo cargar el archivo adjunto. Inténtalo de nuevo.,أُووبس!! فشل تحميل المرفق. حاول مرة اخرى.
Support ticket created successfully!,Support ticket created successfully!,¡Ticket de soporte creado exitosamente!,تم إنشاء تذكرة الدعم بنجاح!
Conversation,Conversation,Conversación,محادثة
Support Details,Support Details,Detalles de soporte,تفاصيل الدعم
Description,Description,Descripción,وصف
"This ticket is solved, you can't send message right now.","This ticket is solved, you can't send message right now.","Este ticket está solucionado, no puedes enviar mensaje en este momento.",تم حل هذه التذكرة، لا يمكنك إرسال رسالة الآن.
Support Ticket,Support Ticket,Boleto de soporte,بطاقة الدعم
Enter Subject,Enter Subject,Ingresar Asunto,أدخل الموضوع
Total Users,Total Users,Usuarios totales,إجمالي المستخدمين
Active,Active,Activo,نشيط
Unverified ,Unverified ,Inconfirmado,لم يتم التحقق منها
Total Blog Category,Total Blog Category,Categoría total de blogs,إجمالي فئة المدونة
Inactive,Inactive,Inactivo,غير نشط
Total Blogs,Total Blogs,Blogs totales,مجموع المدونات
Total Support Ticket,Total Support Ticket,Ticket de soporte total,إجمالي تذكرة الدعم
Pending,Pending,Pendiente,قيد الانتظار
Total Transactions,Total Transactions,Transacciones totales,إجمالي المعاملات
Total Fees & Charges,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والمصاريف
This Month,This Month,Este mes,هذا الشهر
Last Month,Last Month,El mes pasado,الشهر الماضي
Transaction Analytics,Transaction Analytics,Análisis de transacciones,تحليلات المعاملات
User Analytics,User Analytics,Análisis de usuario,تحليلات المستخدم
View User,View User,Ver usuario,عرض المستخدم
Latest Buy Crypto Transactions,Latest Buy Crypto Transactions,Últimas transacciones de compra de criptomonedas,أحدث معاملات شراء العملات المشفرة
S. Wallet,S. Wallet,S. Cartera,S. المحفظة
P. Method,P. Method,P. Método,طريقة P
Developed by,Developed by,Desarrollado por,طورت بواسطة
Appdevs.,Appdevs.,desarrolladores de aplicaciones.,تطبيقات.
Welcome To,Welcome To,Bienvenido a,مرحبا بك في
Admin Panel,Admin Panel,Panel de administrador,لوحة الادارة
Default,Default,Por defecto,تقصير
Setup Coin,Setup Coin,Moneda de configuración,عملة الإعداد
Setup Network,Setup Network,Configurar red,شبكة الإعداد
Setup Currency,Setup Currency,Configuración de moneda,عملة الإعداد
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والمصاريف
Outside Address,Outside Address,Dirección exterior,العنوان الخارجي
Transactions & Logs,Transactions & Logs,Transacciones y registros,المعاملات والسجلات
Buy Crypto Logs,Buy Crypto Logs,Comprar registros criptográficos,شراء سجلات التشفير
Pending Logs,Pending Logs,Registros pendientes,السجلات المعلقة
Confirm Logs,Confirm Logs,Confirmar registros,تأكيد السجلات
Rejected Logs,Rejected Logs,Registros rechazados,السجلات المرفوضة
All Logs,All Logs,Todos los registros,جميع السجلات
Interface Panel,Interface Panel,Panel de interfaz,لوحة الواجهة
User Care,User Care,Atención al usuario,رعاية المستخدم
Active Users,Active Users,Usuarios activos,المستخدمين النشطين
Email Unverified,Email Unverified,Correo electrónico no verificado,لم يتم التحقق من البريد الإلكتروني
All Users,All Users,Todos los usuarios,جميع المستخدمين
Email To Users,Email To Users,Enviar correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين
Banned Users,Banned Users,Usuarios prohibidos,المستخدمون المحظورون
Admin Care,Admin Care,Atención administrativa,رعاية المشرف
All Admin,All Admin,Todos los administradores,كل المشرف
Admin Role,Admin Role,Rol de administrador,دور المشرف
Role Permission,Role Permission,Permiso de rol,إذن الدور
Email To Admin,Email To Admin,Enviar correo electrónico al administrador,البريد الإلكتروني إلى المشرف
Settings,Settings,Ajustes,إعدادات
Web Settings,Web Settings,Configuración web,إعدادات الويب
Basic Settings,Basic Settings,Ajustes básicos,الإعدادات الأساسية
App Settings,App Settings,Ajustes de Aplicacion,إعدادات التطبيقات
Image Assets,Image Assets,Recursos de imagen,أصول الصورة
Setup SEO,Setup SEO,Configurar SEO,إعداد كبار المسئولين الاقتصاديين
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية
Onboard Screen,Onboard Screen,Pantalla integrada,شاشة على متن الطائرة
App URLs,App URLs,URL de aplicaciones,عناوين URL للتطبيقات
Languages,Languages,Idiomas,اللغات
Verification Center,Verification Center,Centro de verificación,مركز التحقق
Setup Email,Setup Email,Configurar correo electrónico,إعداد البريد الإلكتروني
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني
Setup Web Content,Setup Web Content,Configurar contenido web,إعداد محتوى الويب
Setup Section,Setup Section,Sección de configuración,قسم الإعداد
Banner Section,Banner Section,Sección de pancartas,قسم البانر
Security Section,Security Section,Sección de Seguridad,قسم الأمن
How Its Work Section,How Its Work Section,Cómo funciona la sección,كيفية عمل القسم
Download App Section,Download App Section,Descargar sección de aplicaciones,تحميل قسم التطبيقات
Statistic Section,Statistic Section,Sección de estadística,القسم الإحصائي
Call To Action Section,Call To Action Section,Sección de llamado a la acción,قسم الدعوة إلى العمل
Footer Section,Footer Section,Sección de pie de página,قسم التذييل
News Letter Section,News Letter Section,Sección de boletines informativos,قسم الرسائل الإخبارية
About Section,About Section,Acerca de la sección,حول القسم
Faq Section,Faq Section,Sección de preguntas frecuentes,قسم الأسئلة الشائعة
Service Section,Service Section,Sección de Servicio,قسم الخدمة
Blog Section,Blog Section,Sección de blogs,قسم المدونة
Contact Section,Contact Section,Sección de contacto,قسم الاتصال
Login Section,Login Section,Sección de inicio de sesión,قسم تسجيل الدخول
Register Section,Register Section,Sección de Registro,قسم التسجيل
Setup Pages,Setup Pages,Páginas de configuración,صفحات الإعداد
Extensions,Extensions,Extensiones,ملحقات
Useful Links,Useful Links,Enlaces útiles,روابط مفيدة
Subscribers,Subscribers,Suscriptores,مشتركين
Contact Messages,Contact Messages,Mensajes de contacto,رسائل الاتصال
Payment Methods,Payment Methods,Métodos de pago,طرق الدفع
Automatic,Automatic,Automático,تلقائي
Manual,Manual,Manual,يدوي
Money Out,Money Out,Salida de dinero,لم يبقى اي من المال
Push Notification,Push Notification,Notificación de inserción,دفع الإخطار
Setup Notification,Setup Notification,Notificación de configuración,إشعار الإعداد
Send Notification,Send Notification,Enviar notificación,إرسال الإخطار
Bonus,Bonus,Prima,علاوة
GDPR Cookie,GDPR Cookie,Cookie RGPD,ملف تعريف الارتباط الناتج عن اللائحة العامة لحماية البيانات
Server Info,Server Info,Información del servidor,معلومات الخادم
Clear Cache,Clear Cache,Limpiar cache,مسح ذاكرة التخزين المؤقت
Sell Crypto Logs,Sell Crypto Logs,Vender registros criptográficos,بيع سجلات التشفير
Withdraw Crypto Logs,Withdraw Crypto Logs,Retirar registros criptográficos,سحب سجلات التشفير
